"Plot Title: 20892176"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20892176, SEN S/N: 20892176)","Coupler Attached (LGR S/N: 20892176)","Host Connected (LGR S/N: 20892176)","End Of File (LGR S/N: 20892176)"
1,04/05/23 08:00:00 AM,7.381,,,
2,04/05/23 09:00:00 AM,7.381,,,
3,04/05/23 10:00:00 AM,7.481,,,
4,04/05/23 11:00:00 AM,7.782,,,
5,04/05/23 12:00:00 PM,7.983,,,
6,04/05/23 01:00:00 PM,8.182,,,
7,04/05/23 02:00:00 PM,8.082,,,
8,04/05/23 03:00:00 PM,7.983,,,
9,04/05/23 04:00:00 PM,7.882,,,
10,04/05/23 05:00:00 PM,7.682,,,
11,04/05/23 06:00:00 PM,7.481,,,
12,04/05/23 07:00:00 PM,7.381,,,
13,04/05/23 08:00:00 PM,7.179,,,
14,04/05/23 09:00:00 PM,7.179,,,
15,04/05/23 10:00:00 PM,7.179,,,
16,04/05/23 11:00:00 PM,7.079,,,
17,04/06/23 12:00:00 AM,7.079,,,
18,04/06/23 01:00:00 AM,7.079,,,
19,04/06/23 02:00:00 AM,7.079,,,
20,04/06/23 03:00:00 AM,7.079,,,
21,04/06/23 04:00:00 AM,7.079,,,
22,04/06/23 05:00:00 AM,7.079,,,
23,04/06/23 06:00:00 AM,7.079,,,
24,04/06/23 07:00:00 AM,7.079,,,
25,04/06/23 08:00:00 AM,7.079,,,
26,04/06/23 09:00:00 AM,7.079,,,
27,04/06/23 10:00:00 AM,7.179,,,
28,04/06/23 11:00:00 AM,7.381,,,
29,04/06/23 12:00:00 PM,7.682,,,
30,04/06/23 01:00:00 PM,8.382,,,
31,04/06/23 02:00:00 PM,8.978,,,
32,04/06/23 03:00:00 PM,9.275,,,
33,04/06/23 04:00:00 PM,9.571,,,
34,04/06/23 05:00:00 PM,9.669,,,
35,04/06/23 06:00:00 PM,9.373,,,
36,04/06/23 07:00:00 PM,8.879,,,
37,04/06/23 08:00:00 PM,8.282,,,
38,04/06/23 09:00:00 PM,8.182,,,
