"Plot Title: 20892188"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20892188, SEN S/N: 20892188)","Coupler Attached (LGR S/N: 20892188)","Host Connected (LGR S/N: 20892188)","Coupler Detached (LGR S/N: 20892188)","End Of File (LGR S/N: 20892188)"
1,04/27/23 12:00:00 PM,17.855,,,,
2,04/27/23 01:00:00 PM,17.855,,,,
3,04/27/23 02:00:00 PM,18.140,,,,
4,04/27/23 03:00:00 PM,18.521,,,,
5,04/27/23 04:00:00 PM,18.616,,,,
6,04/27/23 05:00:00 PM,18.616,,,,
7,04/27/23 06:00:00 PM,18.711,,,,
8,04/27/23 07:00:00 PM,18.711,,,,
9,04/27/23 08:00:00 PM,18.711,,,,
10,04/27/23 09:00:00 PM,18.616,,,,
11,04/27/23 10:00:00 PM,18.521,,,,
12,04/27/23 11:00:00 PM,18.426,,,,
13,04/28/23 12:00:00 AM,18.331,,,,
14,04/28/23 01:00:00 AM,18.140,,,,
15,04/28/23 02:00:00 AM,17.950,,,,
16,04/28/23 03:00:00 AM,17.665,,,,
17,04/28/23 04:00:00 AM,17.475,,,,
18,04/28/23 05:00:00 AM,17.570,,,,
19,04/28/23 06:00:00 AM,17.855,,,,
20,04/28/23 07:00:00 AM,18.140,,,,
21,04/28/23 08:00:00 AM,18.616,,,,
22,04/28/23 09:00:00 AM,18.806,,,,
23,04/28/23 10:00:00 AM,18.901,,,,
24,04/28/23 11:00:00 AM,19.092,,,,
25,04/28/23 12:00:00 PM,19.282,,,,
26,04/28/23 01:00:00 PM,19.567,,,,
27,04/28/23 02:00:00 PM,20.043,,,,
28,04/28/23 03:00:00 PM,20.138,,,,
29,04/28/23 04:00:00 PM,20.329,,,,
30,04/28/23 05:00:00 PM,20.424,,,,
31,04/28/23 06:00:00 PM,20.519,,,,
32,04/28/23 07:00:00 PM,20.424,,,,
33,04/28/23 08:00:00 PM,20.329,,,,
34,04/28/23 09:00:00 PM,20.234,,,,
35,04/28/23 10:00:00 PM,20.043,,,,
36,04/28/23 11:00:00 PM,19.853,,,,
37,04/29/23 12:00:00 AM,19.758,,,,
38,04/29/23 01:00:00 AM,19.472,,,,
39,04/29/23 02:00:00 AM,19.282,,,,
40,04/29/23 03:00:00 AM,19.092,,,,
