"Plot Title: 20892156"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20892156, SEN S/N: 20892156)","Coupler Attached (LGR S/N: 20892156)","Host Connected (LGR S/N: 20892156)","Coupler Detached (LGR S/N: 20892156)","End Of File (LGR S/N: 20892156)"
1,04/05/23 08:00:00 AM,5.141,,,,
2,04/05/23 09:00:00 AM,6.268,,,,
3,04/05/23 10:00:00 AM,9.176,,,,
4,04/05/23 11:00:00 AM,12.980,,,,
5,04/05/23 12:00:00 PM,16.046,,,,
6,04/05/23 01:00:00 PM,15.282,,,,
7,04/05/23 02:00:00 PM,13.076,,,,
8,04/05/23 03:00:00 PM,11.139,,,,
9,04/05/23 04:00:00 PM,9.176,,,,
10,04/05/23 05:00:00 PM,7.882,,,,
11,04/05/23 06:00:00 PM,6.674,,,,
12,04/05/23 07:00:00 PM,5.141,,,,
13,04/05/23 08:00:00 PM,4.102,,,,
14,04/05/23 09:00:00 PM,3.261,,,,
15,04/05/23 10:00:00 PM,2.837,,,,
16,04/05/23 11:00:00 PM,2.624,,,,
17,04/06/23 12:00:00 AM,2.303,,,,
18,04/06/23 01:00:00 AM,1.980,,,,
19,04/06/23 02:00:00 AM,1.764,,,,
20,04/06/23 03:00:00 AM,1.439,,,,
21,04/06/23 04:00:00 AM,1.330,,,,
22,04/06/23 05:00:00 AM,1.330,,,,
23,04/06/23 06:00:00 AM,1.330,,,,
24,04/06/23 07:00:00 AM,1.439,,,,
25,04/06/23 08:00:00 AM,2.088,,,,
26,04/06/23 09:00:00 AM,3.998,,,,
27,04/06/23 10:00:00 AM,5.757,,,,
28,04/06/23 11:00:00 AM,7.280,,,,
29,04/06/23 12:00:00 PM,10.846,,,,
30,04/06/23 01:00:00 PM,15.282,,,,
31,04/06/23 02:00:00 PM,17.855,,,,
32,04/06/23 03:00:00 PM,19.187,,,,
33,04/06/23 04:00:00 PM,21.855,,,,
34,04/06/23 05:00:00 PM,24.062,,,,
35,04/06/23 06:00:00 PM,21.091,,,,
36,04/06/23 07:00:00 PM,15.951,,,,
37,04/06/23 08:00:00 PM,12.594,,,,
38,04/06/23 09:00:00 PM,10.944,,,,
39,04/06/23 10:00:00 PM,10.161,,,,
40,04/06/23 11:00:00 PM,10.161,,,,
41,04/07/23 12:00:00 AM,9.965,,,,
42,04/07/23 01:00:00 AM,9.373,,,,
43,04/07/23 02:00:00 AM,9.275,,,,
44,04/07/23 03:00:00 AM,8.978,,,,
45,04/07/23 04:00:00 AM,8.382,,,,
46,04/07/23 05:00:00 AM,7.079,,,,
47,04/07/23 06:00:00 AM,5.244,,,,
48,04/07/23 07:00:00 AM,4.623,,,,
49,04/07/23 08:00:00 AM,5.757,,,,
50,04/07/23 09:00:00 AM,11.722,,,,
51,04/07/23 10:00:00 AM,17.950,,,,
52,04/07/23 11:00:00 AM,24.738,,,,
53,04/07/23 12:00:00 PM,37.274,,,,
54,04/07/23 01:00:00 PM,41.458,,,,
55,04/07/23 02:00:00 PM,40.645,,,,
56,04/07/23 03:00:00 PM,33.535,,,,
57,04/07/23 04:00:00 PM,33.430,,,,
58,04/07/23 05:00:00 PM,23.484,,,,
59,04/07/23 06:00:00 PM,16.427,,,,
60,04/07/23 07:00:00 PM,11.722,,,,
61,04/07/23 08:00:00 PM,8.382,,,,
62,04/07/23 09:00:00 PM,6.166,,,,
63,04/07/23 10:00:00 PM,4.311,,,,
64,04/07/23 11:00:00 PM,2.624,,,,
65,04/08/23 12:00:00 AM,1.112,,,,
66,04/08/23 01:00:00 AM,0.343,,,,
67,04/08/23 02:00:00 AM,-0.662,,,,
68,04/08/23 03:00:00 AM,-1.684,,,,
69,04/08/23 04:00:00 AM,-2.962,,,,
70,04/08/23 05:00:00 AM,-4.152,,,,
71,04/08/23 06:00:00 AM,-4.880,,,,
72,04/08/23 07:00:00 AM,-5.372,,,,
73,04/08/23 08:00:00 AM,-3.792,,,,
74,04/08/23 09:00:00 AM,3.049,,,,
75,04/08/23 10:00:00 AM,12.304,,,,
76,04/08/23 11:00:00 AM,20.329,,,,
77,04/08/23 12:00:00 PM,21.282,,,,
78,04/08/23 01:00:00 PM,26.195,,,,
79,04/08/23 02:00:00 PM,41.341,,,,
80,04/08/23 03:00:00 PM,40.761,,,,
81,04/08/23 04:00:00 PM,34.163,,,,
82,04/08/23 05:00:00 PM,31.983,,,,
83,04/08/23 06:00:00 PM,26.097,,,,
84,04/08/23 07:00:00 PM,15.951,,,,
85,04/08/23 08:00:00 PM,10.357,,,,
86,04/08/23 09:00:00 PM,6.775,,,,
87,04/08/23 10:00:00 PM,4.207,,,,
88,04/08/23 11:00:00 PM,2.195,,,,
89,04/09/23 12:00:00 AM,0.343,,,,
90,04/09/23 01:00:00 AM,-1.228,,,,
91,04/09/23 02:00:00 AM,-2.610,,,,
92,04/09/23 03:00:00 AM,-3.553,,,,
93,04/09/23 04:00:00 AM,-4.393,,,,
94,04/09/23 05:00:00 AM,-5.125,,,,
95,04/09/23 06:00:00 AM,-5.870,,,,
96,04/09/23 07:00:00 AM,-5.870,,,,
97,04/09/23 08:00:00 AM,-3.911,,,,
98,04/09/23 09:00:00 AM,3.367,,,,
99,04/09/23 10:00:00 AM,13.846,,,,
100,04/09/23 11:00:00 AM,22.812,,,,
101,04/09/23 12:00:00 PM,36.837,,,,
102,04/09/23 01:00:00 PM,43.118,,,,
103,04/09/23 02:00:00 PM,43.966,,,,
104,04/09/23 03:00:00 PM,43.480,,,,
105,04/09/23 04:00:00 PM,40.071,,,,
106,04/09/23 05:00:00 PM,35.328,,,,
107,04/09/23 06:00:00 PM,27.764,,,,
108,04/09/23 07:00:00 PM,17.189,,,,
109,04/09/23 08:00:00 PM,11.334,,,,
110,04/09/23 09:00:00 PM,7.582,,,,
111,04/09/23 10:00:00 PM,4.727,,,,
112,04/09/23 11:00:00 PM,2.624,,,,
113,04/10/23 12:00:00 AM,1.003,,,,
114,04/10/23 01:00:00 AM,-0.437,,,,
115,04/10/23 02:00:00 AM,-1.456,,,,
116,04/10/23 03:00:00 AM,-2.377,,,,
117,04/10/23 04:00:00 AM,-3.079,,,,
118,04/10/23 05:00:00 AM,-3.792,,,,
119,04/10/23 06:00:00 AM,-4.393,,,,
120,04/10/23 07:00:00 AM,-4.393,,,,
121,04/10/23 08:00:00 AM,-2.377,,,,
122,04/10/23 09:00:00 AM,5.141,,,,
123,04/10/23 10:00:00 AM,17.094,,,,
124,04/10/23 11:00:00 AM,27.370,,,,
125,04/10/23 12:00:00 PM,43.118,,,,
126,04/10/23 01:00:00 PM,49.496,,,,
127,04/10/23 02:00:00 PM,49.360,,,,
128,04/10/23 03:00:00 PM,47.368,,,,
129,04/10/23 04:00:00 PM,44.952,,,,
130,04/10/23 05:00:00 PM,40.071,,,,
131,04/10/23 06:00:00 PM,25.028,,,,
132,04/10/23 07:00:00 PM,19.187,,,,
133,04/10/23 08:00:00 PM,15.282,,,,
134,04/10/23 09:00:00 PM,12.690,,,,
135,04/10/23 10:00:00 PM,12.594,,,,
136,04/10/23 11:00:00 PM,9.965,,,,
137,04/11/23 12:00:00 AM,7.682,,,,
138,04/11/23 01:00:00 AM,5.962,,,,
139,04/11/23 02:00:00 AM,5.141,,,,
140,04/11/23 03:00:00 AM,5.244,,,,
141,04/11/23 04:00:00 AM,5.450,,,,
142,04/11/23 05:00:00 AM,4.623,,,,
143,04/11/23 06:00:00 AM,3.788,,,,
144,04/11/23 07:00:00 AM,4.311,,,,
145,04/11/23 08:00:00 AM,8.282,,,,
146,04/11/23 09:00:00 AM,14.230,,,,
147,04/11/23 10:00:00 AM,17.189,,,,
148,04/11/23 11:00:00 AM,19.377,,,,
149,04/11/23 12:00:00 PM,19.567,,,,
150,04/11/23 01:00:00 PM,19.853,,,,
151,04/11/23 02:00:00 PM,19.948,,,,
152,04/11/23 03:00:00 PM,20.234,,,,
153,04/11/23 03:24:15 PM,,Logged,,,
154,04/11/23 03:24:16 PM,,,Logged,,
155,04/11/23 03:24:37 PM,,,,Logged,
156,04/11/23 04:00:00 PM,21.664,,,,
157,04/11/23 05:00:00 PM,24.158,,,,
158,04/11/23 06:00:00 PM,24.255,,,,
159,04/11/23 07:00:00 PM,23.581,,,,
160,04/11/23 08:00:00 PM,22.238,,,,
161,04/11/23 09:00:00 PM,20.710,,,,
162,04/11/23 10:00:00 PM,19.853,,,,
163,04/11/23 11:00:00 PM,18.996,,,,
164,04/12/23 12:00:00 AM,18.045,,,,
165,04/12/23 01:00:00 AM,16.903,,,,
166,04/12/23 02:00:00 AM,16.523,,,,
167,04/12/23 03:00:00 AM,15.855,,,,
168,04/12/23 04:00:00 AM,15.091,,,,
169,04/12/23 05:00:00 AM,14.038,,,,
170,04/12/23 06:00:00 AM,13.076,,,,
171,04/12/23 07:00:00 AM,13.173,,,,
172,04/12/23 08:00:00 AM,16.713,,,,
173,04/12/23 09:00:00 AM,16.808,,,,
174,04/12/23 10:00:00 AM,17.665,,,,
175,04/12/23 11:00:00 AM,24.062,,,,
176,04/12/23 12:00:00 PM,33.014,,,,
177,04/12/23 01:00:00 PM,38.046,,,,
178,04/12/23 02:00:00 PM,42.520,,,,
179,04/12/23 03:00:00 PM,41.692,,,,
180,04/12/23 04:00:00 PM,38.379,,,,
181,04/12/23 05:00:00 PM,36.295,,,,
182,04/12/23 06:00:00 PM,29.853,,,,
183,04/12/23 07:00:00 PM,25.319,,,,
184,04/12/23 08:00:00 PM,22.238,,,,
185,04/12/23 09:00:00 PM,19.948,,,,
186,04/12/23 10:00:00 PM,17.950,,,,
187,04/12/23 11:00:00 PM,16.427,,,,
188,04/13/23 12:00:00 AM,14.900,,,,
189,04/13/23 01:00:00 AM,13.173,,,,
190,04/13/23 02:00:00 AM,11.819,,,,
191,04/13/23 03:00:00 AM,10.846,,,,
192,04/13/23 04:00:00 AM,10.161,,,,
193,04/13/23 05:00:00 AM,9.571,,,,
194,04/13/23 06:00:00 AM,9.176,,,,
195,04/13/23 07:00:00 AM,8.978,,,,
196,04/13/23 08:00:00 AM,9.472,,,,
197,04/13/23 09:00:00 AM,15.855,,,,
198,04/13/23 10:00:00 AM,8.779,,,,
199,04/13/23 11:00:00 AM,9.077,,,,
200,04/13/23 12:00:00 PM,9.472,,,,
201,04/13/23 01:00:00 PM,9.768,,,,
202,04/13/23 02:00:00 PM,10.063,,,,
203,04/13/23 03:00:00 PM,10.259,,,,
204,04/13/23 04:00:00 PM,10.357,,,,
205,04/13/23 05:00:00 PM,10.357,,,,
206,04/13/23 06:00:00 PM,10.259,,,,
207,04/13/23 07:00:00 PM,10.063,,,,
208,04/13/23 08:00:00 PM,9.866,,,,
209,04/13/23 09:00:00 PM,9.768,,,,
210,04/13/23 10:00:00 PM,9.571,,,,
211,04/13/23 11:00:00 PM,9.472,,,,
212,04/14/23 12:00:00 AM,9.373,,,,
213,04/14/23 01:00:00 AM,9.373,,,,
